,customer_id,VENDOR
0,92PEE24,105 105 105 105
1,QS68UD8,294 43
2,MB7VY5F,83 83 83 83
3,KDJ951Y,90
4,BAL0RVT,83 83 83 83 84 84 216 216
5,U263OCD,83 84 84 84
6,I9DNSMJ,105 105 43 43 43 105 43 83 105 105 105 43 193 105 105 83 43 105 105 105 43 43 105 105 43 193 83 90 180 44 44 105 44 537 537 84 105 90 537 681 44
7,QYXXJCF,78 78
8,52ZNRWH,83
9,QQEWRHI,83 83 105 105 105 304 304 105 85 105 105 105 105 85 105 105 386 84 105 105 105 86 105 105 105
10,DRR8CO9,154 154 83 86 356
11,VJP7GIV,193 83 193 193 193 83 189 189 577 398 583 189 189 577 189 577 583 189 845
12,6SJOL5B,193 193 193 193 189 189
13,1HCWZ0H,83 83 83 83 83 83 83 83 83 83 83 83 84 84 356 84 356 84 84
14,G1MZ1IT,83 83 83 83
15,V27UTM4,78 78 78 78 78 578 79
16,0UW9NTR,78 259 78 66 66 113 78 66 78 66 78 66 78 66 113 78 66 66 78 66 66 66 28 78 66 78 67 157 67 113 67 67 67 79 104 67 43 79 106 67 79 67 67
17,TBOTOCJ,4 195 4 188 195 195 195
18,O7Q0U3M,78 841
19,B6Y7ZKT,288 113 274 113 288 274 113 288 83 113 265 259 274 75 113 274 265 113 274 288 265 113 113 274 113 106 288 78 113 578 679 679 679 113 547 679 856 856 856 856 79 113 856 679 679 856 113 679
20,ES0KDB7,78 225 28 115 79 578
21,CLNV54D,85 83 83 391 391 391 391 85 85 83 83 83 85 83 391 391 391 391
22,7SU8OE1,83 84
23,IU4IHX1,195 104 78 104 78 78 195 78 78 104 104 195 195 78 78 78 78 78 78 78 78 104 78 104 79 79 104 79
24,96979ZR,78 78 195 78 78 78
25,N41VQEP,161 161 161 161 161 161 161 161 196 161 161 161 161 161 161 161 161 161 161 573 573 573 573
26,IZ17PI0,196 196 196 161 196 196 196 196 196 196 196 196 196 196 196 196 196 196 161 196 196 196 196 573 573 192 192 192 192 192 192 573 573 192 573 192 573 855 573 573 573 573 192
27,SKXXU3W,75 110 106 192 110 192 110 106 115 106 221 110 110 113 110 134 134 110 134 134 110 134 134 43
28,KYFPWWC,20 20 4 134 189 20 20 20 23 20 23 20 4 23 391 23 33 20 33 356 356 356 356 33 846 4 23 23 23 33 271 271 75 841 841 849 23 849 20 356
29,L1LYPLK,221 104 221 300 221 221 221 221 221 221 192 221 221 192 192 221 221 20 221 192 221 391 216 216 216 216 216 216 216 216 295 20 295 295 295 295 295 295 295 295 295 295 20 20 295 300 295 300 20 295
30,KWGMDMP,195 547
31,NYDQ8RO,300 300 310 195 180 78 104 13 191 391 578 191 841 841 578 841 841
32,R7XBMFV,20 303 193 193 303 303 303 303 303 303 192 81 81 33 81 82 67 67 33 679 298 676
33,8D0F3NE,221 33 221 221 81 221 221 192 192 110 78 216 679 679
34,Y19T6TU,20 113 259 149 201 157
35,765LAHD,20 81 81 221 159 81 20 20 20 159 159 106 20 20 159
36,SNS7GCQ,20 159 106 105 106 4 106 4 20 20 78 78 106 20 20 106 83 159 78 106
37,NDV7DYO,81 81 4 4 23 23 23 23 23 82 13
38,WSVG6Y9,75 75 192 75 192 75 192 75 192 192 110 192 75 75 110 192 75 75 75 75 75 75 192 192 75 192 75 75 75 75 259 75 192 75 265 265 265 75 20 75 192 75 75 75 75 192 192 192 192 192 75 188 547 310
39,MYPR8IK,300 300 300
40,9M9LHRY,195 193 193 195 195 193 195 195 195 195 75 195 195 195 195 193 195 195 83 195 85 85 195 195 195 195 195 191 191 191 191 191 189 191 113 113 191 113 191 113 84 191 113 84 191 86 459 849 84 849
41,UINGJGR,180 145 294 180 180 180 180 271 180 113 195 180 391 180 180 391 180 176 105 180 105 176 105 176 849 176 849 386 681 216 849 105 386 849 849 849
42,5XOVBAT,75 75 75 75 195 78 195 75 157 195 75 75 195 195 75 75 195 75 75 75 846 846 846
43,3ISHF8M,20 303 75 134 303 75 265 75 75 75 4 195 75 192 104 195 180 265 66 23 300 303 216 271 310 271 188 841 20 20
44,KHL0M3N,231 294 231 83 83 83 83 85 83 148 83 304 105 299 44 105 225 386 225
45,R4TW4EP,75 75 75 75 75 75 75 75 75 75 75 75 75 75 75
46,TL7Z2DM,75 20 75 75 75 75 75 113 78 75 106 75 207 75 75 75 78 75 75 207 75 207 75 75 207 75 75 207 207 75 75 75 75 75 75 20 75 75 75 75 75 20 75 75 75 75 75 75 221 75 75 75 20 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 207 75 113 75 75 75 113 207 113 75 75 75 75 75 75 75 75 113 75 75 75 75 75 113 113 75 75 76 203 76 76 203 76 76 76 76 76 113 76 76 76 76 113 76 76 201 76 76 113 76 79 76 76 201 113 76 76 76 76 76 20 20 76 76 76 76 76 76 76 76 76 76 76 76 76 20 76 20 20 76 76
47,T3PR0JO,85 83 44 85 85 85 391 391 391
48,P6I0H2R,195 195 195 195 113 78 195 113 78 113 78 113 195 195 113 78 113 195 113 191 191 113 191 113 191 191 191 79 113 191 79 191 191 191 191 79 191 191 676 191 191 582
49,VT0Z8V9,193 193 85 86
50,HBLGAXG,303 303 303 303 303 298 159 159 298 298 298 188
51,KXGTTXE,225 303 134 134 81 303 134 113 225 274 274 81 81 81 20 134 134 274 134 401 401 547 134 310 578 134 578 134 106 134 578 578
52,MSZLX2A,81 20 20 134 303 303 201 274 78 110 180 303 578
53,1WUPJGN,221 221 221 221 221 221 23 221 221 221 221 221 104 300 145 231 83 20 221 83 221 221 23 84 216 20 23 13 216 216 216 84 295 216 216 216
54,MOGAMGX,20 300 4 4 4 81 81 81 81 20 4 180 191 82 82 4 82 250
55,AJ9WM61,81 33 4 33 81 303 303 303 33 145 76 33 33 189 191 154 858 845 356
56,T2XWPU1,110 110 110 110 67
57,VDY1B1V,81 81 81 81 81 81 81 81 81 81 221 81 81 81 81 82 82 295 82 82 82 82 386 295 386 216 82 82 295
58,O7O130D,176 4 4 55 176 176 176 176 4 4 191 191 191 191 43 841 855 201 157
59,NPO5O5W,180 20 196 20 271
60,KZHIUNS,33 76 82 23
61,T6PX280,23 161 33 4 161 4 203 4 33 203 23 23 4 161 161 33 161 161 4 23 161 4 33 4 199 573 573 4 573 33 4 573 4
62,O7K6KY6,115 221 115 192 216 83 83 216
63,LLXSRZN,113 113 259 113 113 105 113 148 113 113 113 113 113 398 113 289 113 113 845 113 113 113 113 113
64,XOIAMO3,4 13 4 196 161 4 159 13 13 573 192 13 192 192 841 192 855 191
65,X6FWXXL,113 113 113 113 149 149 113 13 113 154 113 113 113 113 113 113 113 113 113 84 148 113 547 679 113 113
66,318RTJF,13 4 176 13 176 391 104 4 288 104 104 104 43 841 13 201
67,PH2CZRN,4 4 310 76 113 55 180 76 76 4 176 55 75 679 4
68,FWNWSYH,4 4 4 20 81 4 176 221 13 274 4 81 274 176 81 274 81 180 180 300 221 180 75 23 23 20 81 81 192 274 300 300 192 13 216 82 76 197 82 216 295 295 216 13 82 13 82 577 310 288 176 23 176 176 176 176 82 188 82 176 13 176 33
69,RFZNXM7,288 106 75 192 303 310 310 386 310 310 304 104 398 298 310 298 84 310 310 310 76 310 188 310
70,20E1IQT,20 221 20 154 154 160 154 105 154 86 160 154 81 154 160 154 154 160 160 160 81 289 289 356 160 300 289 300 289 105
71,8FALCPS,193 193 193 105 105 105 310 105 105 189 44
72,VE6IAW5,300 300 300 300 300 300 300 300 161 300 161 300 20 300 192 295 20 303 20 20 295 295 295 295 20 578 295 20
73,Y0NMMTW,157 157 192 180 419 207 92 92 28 28 28 578 578 28 149 82 578 191 157 176 547
74,90HT14J,157 83 201 90 110 113 201
75,QSBN2T0,113 113 113 113 113 113 113 113 113 113 386 386
76,22EG11G,4 310 176 180 192 201 92 201 4 92 679 201 92 676
77,WNB9LPJ,159 104 78 81 104 81 4 104 4 180 104 104 104 4 81 106 104 81 104 104 104 106 4 4 4 4 4 4 104 4 82 104 274
78,9R7Z8H2,289 243 243 13 243 289 289 289 289 243 289 189 575 398
79,TC2H7PX,221 221 207 300 300 221 265 300 303
80,YW3J3MM,113 113 113 113 113 113 113 113 113 113
81,U31BNUR,303 134 303 303 134 66 110 303 300 265 300 300 134 66 134 300 134 300 221 265 180 110 192 401 401 76 259 401 298 401 303 76 67 401 401 298 401 295 298 401 303 401 188 303 303 298 582 303 303 303 310 159 401 578 303 271 188 303 85 303 298 303 401 303 159 303 303 401 303 188 303 310 303 303 298 303 303 188 67 159 188 303 259 303 79 303 310 401 310 303 401
82,B19DQ80,106 106 106 113 577 106 106 582 28
83,EB6UI7F,76 104 180
84,Q9YJZ1Q,303 300 300 81 303 303 303 303 33 303 303 221 303 303 110 298 298 298 298 298 298 298 295 216 298 298 298 298 298 298 298 298
85,RSX05RF,83 84
86,43RZB8B,76 104 191
87,FRBAFP4,180 265 55 81 192 180 81 189 192 176 92 180 113 180 180 81 192 180 20 92 180 192 20 176 66 274 149 81 192 192 92 192 55 92 188 188 176 188 188 176 188 149 188 188 92 82 259 104 159 188 92 259 188
88,HZEPQ0Z,113 113 113 113 79 113
89,JHLR9GG,303 195 274 134 189 303 303 134 81 134 81 113 134 303 113 303 298 303 78 303 303 81 303 274 13 66 274 310 274 265 79 265 134 115 134 79 134 221 259 134 274 221 92 23 20 113 310 33 92 92 578 578 134 134 547 298 134 679 113 547 547 113 547 134 310 858 134 401 33 547 79
90,EERHFLJ,104 180 4 104 81 104 4 104
91,M2GM6HC,104 78 104 78 78 78 104 104 78 104 104 104 104 104 104 104 104 78 113 104 104 195 78 259 104 78 104 104 78 104 78 104 104 113 4 149 113 78 113 78 113 113 274 78 195 78 195 104 419 104 78 113 113 20 113 104 79 79 106 104 201 104 191 79 106 858 79 79 104 113 113 79 113
92,8BZR1IV,20 33 33 33 33 33 33 33 81 20 20 20 28 310 310 310 33 20 33
93,YBKB628,303 303 303 303 303 303 303 303 92 298
94,OH64IO0,310 113
95,RLOTER7,78 113 78 78 78 78 78 259 78 79
96,NY73W6G,113 113 113 113 113 113 113 113 113 113 113 113 113 113 113 113 113 113 113
97,RRVZGFC,196
98,OQF2WQH,113 259 259 78 310 113 288
99,0NDRIYA,55 104 104 4 104 104 55 104 104 104 105 55 104 55 191 583 583 104 55 104 583 104 104 104 176 176 547 583 176 104 176 176
100,4E1QHWW,78 78 106 106 78 79 679 201 113 113 577 113 79 79 573
