,Unnamed: 0,customer_id,gender,location_number,location_type,latitude_x,longitude_x,city_id,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_21,tag_22,tag_23,tag_24,tag_25,tag_26,tag_27,tag_28,tag_29,tag_30,tag_31,tag_32,tag_33,tag_34,tag_35,tag_36,tag_37,tag_38,tag_39,tag_40,tag_41,tag_42,tag_43,tag_44,tag_45,tag_46,tag_47,tag_48,tag_49,tag_50,tag_51,tag_52,tag_53,tag_54,tag_55,tag_56,tag_57,tag_58,tag_59,tag_60,tag_61,tag_62,tag_63,tag_64,tag_65,tag_66,tag_67,tag_68,tag_69,tag_70,tag_71,tag_72,tag_73,tag_74,tag_75,tag_76,tag_77,tag_78,tag_79,tag_80,tag_81,tag_82,tag_83,tag_84,tag_85,tag_86,tag_87,tag_88,tag_89,tag_90,tag_91,grand_total,item_count
28,2800,IL9MJSW,0,0,0,-0.6514,-78.5,1.0,34,17,34,34,68,0,0,68,17,17,17,34,0,0,17,119,0,0,0,0,0,17,68,51,0,0,34,0,17,0,0,17,0,17,0,17,0,85,0,0,17,17,0,0,0,0,0,17,0,0,0,17,0,17,0,0,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26.27627118644068,3.066057958067652
29,2900,IL9MJSW,0,1,0,-0.2769,-78.56,1.0,34,17,34,34,68,0,0,68,17,17,17,34,0,0,17,119,0,0,0,0,0,17,68,51,0,0,34,0,17,0,0,17,0,17,0,17,0,85,0,0,17,17,0,0,0,0,0,17,0,0,0,17,0,17,0,0,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26.27627118644068,3.066057958067652
30,3000,IL9MJSW,0,2,0,0.0951,-78.6,1.0,34,17,34,34,68,0,0,68,17,17,17,34,0,0,17,119,0,0,0,0,0,17,68,51,0,0,34,0,17,0,0,17,0,17,0,17,0,85,0,0,17,17,0,0,0,0,0,17,0,0,0,17,0,17,0,0,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26.27627118644068,3.066057958067652
31,3100,IL9MJSW,0,3,0,-1.877,-78.4,1.0,34,17,34,34,68,0,0,68,17,17,17,34,0,0,17,119,0,0,0,0,0,17,68,51,0,0,34,0,17,0,0,17,0,17,0,17,0,85,0,0,17,17,0,0,0,0,0,17,0,0,0,17,0,17,0,0,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26.27627118644068,3.066057958067652
32,3200,IL9MJSW,0,4,1,-0.494,-78.56,1.0,34,17,34,34,68,0,0,68,17,17,17,34,0,0,17,119,0,0,0,0,0,17,68,51,0,0,34,0,17,0,0,17,0,17,0,17,0,85,0,0,17,17,0,0,0,0,0,17,0,0,0,17,0,17,0,0,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26.27627118644068,3.066057958067652
33,3300,IL9MJSW,0,5,2,-0.2798,0.7407,1.0,34,17,34,34,68,0,0,68,17,17,17,34,0,0,17,119,0,0,0,0,0,17,68,51,0,0,34,0,17,0,0,17,0,17,0,17,0,85,0,0,17,17,0,0,0,0,0,17,0,0,0,17,0,17,0,0,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26.27627118644068,3.066057958067652
188,19700,09Z9QF9,0,0,1,-0.01383,-78.56,1.0,0,3,0,3,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.375,2.6974354881497864
189,19800,09Z9QF9,0,1,2,-0.00736,-0.04996,1.0,0,3,0,3,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.375,2.6974354881497864
422,44000,0ZOSDTW,0,0,2,-0.6533,-78.5,1.0,0,1,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.55,2.644870976299573
458,47800,891G0JF,0,0,0,-0.6167,-78.5,1.0,27,9,0,27,36,9,0,36,0,0,0,0,9,0,9,36,0,0,0,0,0,9,0,27,0,0,18,18,0,18,0,0,0,9,9,9,0,0,0,0,0,9,9,0,0,0,9,18,0,0,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.515384615384617,1.637672457892242
459,47900,891G0JF,0,1,0,-0.1917,-78.56,1.0,27,9,0,27,36,9,0,36,0,0,0,0,9,0,9,36,0,0,0,0,0,9,0,27,0,0,18,18,0,18,0,0,0,9,9,9,0,0,0,0,0,9,9,0,0,0,9,18,0,0,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.515384615384617,1.637672457892242
460,48000,891G0JF,0,2,0,0.3643,-78.6,1.0,27,9,0,27,36,9,0,36,0,0,0,0,9,0,9,36,0,0,0,0,0,9,0,27,0,0,18,18,0,18,0,0,0,9,9,9,0,0,0,0,0,9,9,0,0,0,9,18,0,0,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.515384615384617,1.637672457892242
461,48100,891G0JF,0,3,0,0.662,-78.7,1.0,27,9,0,27,36,9,0,36,0,0,0,0,9,0,9,36,0,0,0,0,0,9,0,27,0,0,18,18,0,18,0,0,0,9,9,9,0,0,0,0,0,9,9,0,0,0,9,18,0,0,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.515384615384617,1.637672457892242
462,48200,891G0JF,0,4,2,-0.616,0.74,1.0,27,9,0,27,36,9,0,36,0,0,0,0,9,0,9,36,0,0,0,0,0,9,0,27,0,0,18,18,0,18,0,0,0,9,9,9,0,0,0,0,0,9,9,0,0,0,9,18,0,0,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.515384615384617,1.637672457892242
463,48300,891G0JF,0,5,0,-0.623,0.1984,1.0,27,9,0,27,36,9,0,36,0,0,0,0,9,0,9,36,0,0,0,0,0,9,0,27,0,0,18,18,0,18,0,0,0,9,9,9,0,0,0,0,0,9,9,0,0,0,9,18,0,0,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.515384615384617,1.637672457892242
519,54200,I30Q3IC,0,0,2,-0.05637,-78.56,1.0,5,10,0,5,5,0,0,10,0,0,0,0,0,0,10,5,0,0,0,0,0,5,5,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6125,2.9474354881497864
520,54300,I30Q3IC,0,1,2,-0.05597,-0.04834,1.0,5,10,0,5,5,0,0,10,0,0,0,0,0,0,10,5,0,0,0,0,0,5,5,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6125,2.9474354881497864
525,55200,JNVC68C,1,0,1,-96.44,-67.2,1.0,24,16,0,40,56,0,0,64,0,32,0,8,0,0,8,48,0,0,0,0,0,8,16,40,0,0,24,0,8,48,8,8,8,0,0,0,0,8,0,0,0,0,0,8,0,0,8,8,0,8,0,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,9.131914893617026,2.004582024399672
526,55300,JNVC68C,1,1,1,-0.607,-78.5,1.0,24,16,0,40,56,0,0,64,0,32,0,8,0,0,8,48,0,0,0,0,0,8,16,40,0,0,24,0,8,48,8,8,8,0,0,0,0,8,0,0,0,0,0,8,0,0,8,8,0,8,0,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,9.131914893617026,2.004582024399672
527,55400,JNVC68C,1,2,1,0.04105,-78.6,1.0,24,16,0,40,56,0,0,64,0,32,0,8,0,0,8,48,0,0,0,0,0,8,16,40,0,0,24,0,8,48,8,8,8,0,0,0,0,8,0,0,0,0,0,8,0,0,8,8,0,8,0,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,9.131914893617026,2.004582024399672
528,55500,JNVC68C,1,3,2,0.04074,0.58,1.0,24,16,0,40,56,0,0,64,0,32,0,8,0,0,8,48,0,0,0,0,0,8,16,40,0,0,24,0,8,48,8,8,8,0,0,0,0,8,0,0,0,0,0,8,0,0,8,8,0,8,0,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,9.131914893617026,2.004582024399672
